question_id,pool_size,pool_has_gold,in_tok,out_tok,hit@5,hit@10,hit@15,hit@20,hit@50,hit@100
qst_0001,500,True,20819,247,1,1,1,1,1,1
qst_0002,500,True,15666,243,1,1,1,1,1,1
qst_0003,500,True,12026,247,1,1,1,1,1,1
qst_0004,500,True,13119,243,1,1,1,1,1,1
qst_0005,500,True,11313,257,0,0,1,1,1,1
qst_0006,500,True,11405,977,1,1,1,1,1,1
qst_0007,500,True,11506,250,0,0,0,0,1,1
qst_0008,500,True,11256,306,0,0,1,1,1,1
qst_0009,500,True,11116,243,0,0,0,0,1,1
qst_0010,500,True,13485,243,1,1,1,1,1,1
qst_0011,500,True,10892,306,1,1,1,1,1,1
qst_0012,500,True,3290,343,1,1,1,1,1,1
qst_0013,500,True,10936,1001,1,1,1,1,1,1
qst_0014,500,True,13472,251,1,1,1,1,1,1
qst_0015,500,True,3718,465,1,1,1,1,1,1
qst_0016,500,True,11167,246,0,0,0,0,1,1
qst_0017,500,True,38697,410,1,1,1,1,1,1
qst_0018,500,True,11608,719,0,1,1,1,1,1
qst_0019,500,True,12234,246,1,1,1,1,1,1
qst_0020,500,True,30803,362,1,1,1,1,1,1
qst_0021,500,True,10915,453,0,0,0,0,1,1
qst_0022,500,True,11108,437,1,1,1,1,1,1
qst_0023,500,True,11250,246,1,1,1,1,1,1
qst_0024,500,True,12121,243,1,1,1,1,1,1
qst_0025,500,True,11565,247,0,0,1,1,1,1
qst_0026,500,True,12693,330,0,1,1,1,1,1
qst_0027,500,True,10964,247,0,0,0,0,1,1
qst_0028,500,True,12287,247,1,1,1,1,1,1
qst_0029,500,True,11421,247,1,1,1,1,1,1
qst_0030,500,True,11122,247,0,0,0,0,1,1
