question_id,question_type,source_types,expected_doc_ids,n_unique_cands,rrf_pool_size,hit@10,rank@10,hit@20,rank@20,hit@30,rank@30,hit@40,rank@40,hit@50,rank@50,hit@60,rank@60,hit@70,rank@70,hit@80,rank@80,hit@90,rank@90,hit@100,rank@100,hit@120,rank@120,hit@150,rank@150,hit@180,rank@180,hit@200,rank@200,hit@500,rank@500,hit@750,rank@750,hit@1000,rank@1000
qst_0001,basic,github,dsid_ae068ee4aa9640159427cd941bef0238,8733,8733,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0002,basic,github,dsid_9550250a59e74f1bbd5612480b2e7100,9130,9130,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4
qst_0003,basic,linear,dsid_3fd6af404fae48e6b8ea5a57875ef78f,8222,8222,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0004,basic,fireflies,dsid_6c4c1c875e704f09b4d791d64d7bc7e5,8276,8276,0,,0,,1,29,1,29,1,29,1,29,1,29,1,29,1,29,1,29,1,29,1,29,1,29,1,29,1,29,1,29,1,29
qst_0005,basic,gmail,dsid_8e838ab6a98f4cbcb672d41f210ff89c,8766,8766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0006,basic,google_drive,dsid_184be937d34a412ab5e61366d54d8ed6,8528,8528,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0007,basic,google_drive,dsid_72ec4a9962ba43e88acd61abbba1052d,9423,9423,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8
qst_0008,basic,google_drive,dsid_5fc2dba9f6ac4af2b49b4f546a4298d0,9641,9641,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0009,basic,gmail,dsid_85deb10a652742baaf28af6149600001,9296,9296,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
qst_0010,basic,github,dsid_c1a6a71323c04c1ba5445aadea340362,9189,9189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0011,basic,confluence,dsid_46a4cb87db414e769f2df86f01626948,9457,9457,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0012,basic,jira,dsid_59cb294da8964683bb165a3bb615df71,9174,9174,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0013,basic,confluence,dsid_f1b208f3637e4987aeab371242a5bea5,8989,8989,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0014,basic,fireflies,dsid_9ed01291d81947f49500df5fb28ab724,8615,8615,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8
qst_0015,basic,hubspot,dsid_e75bbf328fe349d2bb39e29b1ed7c9d5,8869,8869,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0016,basic,confluence,dsid_ba7d1565b0694e359983bccaa4bf5977,9303,9303,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,160,1,160,1,160,1,160,1,160
qst_0017,basic,hubspot,dsid_03af1e44970d4d6db6e85bc2c5fce8de,7895,7895,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9
qst_0018,basic,linear,dsid_1f81f208f51a4aacaca226109bbedc72,8878,8878,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0019,basic,jira,dsid_e728a420a02a4ddcb125e6adb09d211e,8995,8995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0020,basic,github,dsid_1c53affffb4f477ca476bec3138b60eb,8929,8929,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
