question_id,question,answer,document_ids,llm_turns,docs_read,elapsed_s,hit
qst_0001,What are the default size limits for file uploads and total request size for the new multipart upload support on the OpenAI-compatible API endpoints?,"Based on the documents, the default size limits for the new multipart upload support on the OpenAI-compatible API endpoints are:

- **Per-file limit**: 10 MiB (default max_file_size)
- **Total request size limit**: 50 MiB (default max_total_request_size)
- **Maximum parts count**: 20 (default max_parts_count)

These defaults are configurable and can be overridden at tenant or route level via API config. The implementation enforces these limits with conservative defaults to prevent OOM issues and destabilization of streaming.",github/dsid_ae068ee4aa9640159427cd941bef0238__pr-18421-multipart-file-validation-limits.txt,5,40,338.31,1
qst_0002,What is the name of the new metric added so SRE can track when server-side streaming sessions get finalized due to hitting the time limit?,"The new metric added is called **stream.timebox_finalized**. According to the PR discussion, Ava Chen requested metrics for timebox-triggered finalizations so SRE can track when server-side streaming sessions get finalized due to hitting the time limit. Marcus Li confirmed the metric was added with labels for route and model.",,2,10,20.48,0
qst_0003,What are the acceptance criteria for the project introducing an algorithm to generate interactive UI color states and a Kappa-style elevation scale for dense table and grid components?,"The acceptance criteria for this project are:

1. **Token spec**: Produce a stable token spec file (design JSON) that includes base palette, interactive derivatives (e.g., color.interactive.primary.hover), and elevation.kappa.{0..6} with explicit shadow parameters.

2. **Implementation-ready**: Frontend repo receives a tokens PR implementing variables; DataGrid and Table components consume new tokens behind a feature flag.

3. **Accessibility**: Automated contrast checks pass for all interactive states against 3:1 where applicable and 4.5:1 for primary actionable text.

4. **Visual regression**: Add per-component visual snapshots and tolerances; no regressions beyond approved deltas.

5. **Figma**: Updated design kit with tokenized components and guidance notes.

6. **Rollout plan**: Canary on internal analytics dashboards → staged rollout → full migration with a fallback.",linear/design/dsid_3fd6af404fae48e6b8ea5a57875ef78f__DES-72681-develop-interactive-tone-derivatives-and-kappa-elevation-scale-for-data-grids.txt,2,10,32.07,1
qst_0004,"In the meeting about onboarding a SaaS product to Google Cloud Marketplace, what did the GCP team recommend for handling delays where a new subscription entitlement is not immediately available during the customer onboarding flow?","According to the design spec for the marketplace subscription-to-org provisioning flow, the GCP team recommended that when a new subscription entitlement is not immediately available during customer onboarding, the console should display a ""pending propagation"" state with the message ""We don't see your entitlement yet. This can take up to 15 minutes."" The recommended handling includes: (1) providing a ""Retry"" button, (2) offering a ""Troubleshoot"" link, and (3) after 3 retries, surfacing a compact troubleshooting checklist that includes: confirm you subscribed to the correct offer, confirm you are using the same marketplace account that subscribed, wait and retry (entitlements can be delayed), and contact support with a correlation ID.",confluence/product-docs/design-specs/dsid_96151fd86fcd4aef83e13a706768dd11__marketplace-subscription-to-org-provisioning-flow.txt,11,100,127.57,0
qst_0005,"What failover sequence and recovery targets did MedThink specify for handling an EU region outage, including any limits on how long traffic can shift to the US?","For EU region outages, MedThink specified the following failover sequence and recovery targets:

**Failover Sequence:**
- EU primary → EU warm standby → US emergency failover

**Cross-Region Limits:**
- Cross-region failover to US is permitted only for declared emergency windows with a maximum duration of **4 hours**
- Must be pre-approved in runbook

**Recovery Targets:**
- RPO (Recovery Point Objective): **15 minutes** for active datasets
- RTO (Recovery Time Objective): **30 minutes** for critical APIs",gmail/rafael_mendes/dsid_8e838ab6a98f4cbcb672d41f210ff89c__20280503-region-fallback-priority-ops-inventory.txt,2,10,13.64,1
qst_0006,"In the draft spec about extending a routing policy engine for automated regional failover, what is the proposed priority order for evaluating different failure signals when deciding whether to shift traffic or fail over?","According to the draft spec and ADR-042 (Failover Trigger Signal Hierarchy), the proposed priority order for evaluating different failure signals when deciding whether to shift traffic or fail over is:

1. **Cross-region reachability** (P0 - Authoritative): If the region cannot be reached, other signals may be missing/biased and customers cannot be served. This is the highest priority signal.

2. **5xx / request failure burn** (P1): Direct customer impact that correlates strongly with inability to serve. Triggers include burn-rate alerts meeting fast (14x over 1m) or sustained (6x over 5m/30m) thresholds.

3. **Tail latency burn** (P2): Strong indicator of impairment and impending failures, but more sensitive to load/capacity. Triggers include 10x burn over 10m or 4x burn over 30m.

4. **Capacity exhaustion / headroom** (P3): This is a predictive signal that can be noisy and is used primarily as a gating mechanism rather than a standalone failover trigger. It can corroborate other signals and gate failover execution to avoid cascading overload into an already overwhelmed destination region.

Higher priority signals can preempt lower ones. Except for narrowly defined ""hard-down"" reachability, failover requires corroboration from at least 2 independent sources before initiating automated routing changes.",,2,10,27.99,0
qst_0007,"In a rolling investigation of a model regression on policy-related prompts after a recent deploy, what was the average triage rubric score change between the older baseline build and the newer optimized build in the first comparison run?","In the first comparison run of the rolling bias/regression bisection investigation on policy-related prompts, the average triage rubric score decreased from 2.7 (baseline build v2026-02-16-quant) to 1.9 (newer optimized build v2026-03-01-opt), representing a negative change of 0.8 points.",google_drive/users/dsid_72ec4a9962ba43e88acd61abbba1052d__rolling-bias-bisection-log-jared.txt,2,10,18.19,1
qst_0008,"In the internal shiproom runner notes, what is the target time-to-recover threshold for a verified rollback in staging?","The target time-to-recover threshold for a verified rollback in staging is **less than 10 minutes** (< 10m). This is listed in the GO/NO-GO checklist under ""Rollback plan,"" which states: ""image rollback verified in staging (time-to-recover < 10m).""",,2,10,17.79,0
qst_0009,"In the EdgePath evaluation email thread, what alternative Year 1 pricing package did Redwood propose instead of matching the competitor's 50 percent first-year discount and migration credit?","Instead of matching CloudOrbit's 50% first-year discount and $60k migration credit, Redwood proposed a ""Committed (12/24 mo)"" package with prepay buckets that would reduce effective unit cost by 25% for Year 1 at a 12-month commit, plus an onboarding credit up to $45k for migration milestones (compared to the competitor's $60k). They also offered a seat license option that adds predictable monthlies and entitles to 1:1 ECC.",gmail/avery_johnson/dsid_85deb10a652742baaf28af6149600001__20250803-license-offsets-and-migration-incentive.txt,3,20,35.7,1
qst_0010,How does the new alerting approach group model-serving requests by the stages they pass through to reduce noisy alerts and speed up root cause analysis?,"The new alerting approach groups model-serving requests by their ""stage footprint"" using a lightweight token_stage_cohort service. This service computes a deterministic cohort key per invocation based on stage-level metrics including: token counts per stage, kv-cache hit pattern, and decode-batch size. The cohort key is namespaced with model-major-version and stores short-lived cohort aggregates.

The system then introduces an alert route-matrix generator that consumes these cohort rollups and emits alert bindings which bias escalation to the top-k stages for that route. This creates a route x stage alert matrix that attributes SLO violations to the most likely pipeline stage (such as tokenization, encoder, decode, or fallback).

By grouping requests into stage-aware cohorts, the approach reduces alert noise by correlating failures to specific pipeline stages rather than treating each route's alerts independently. This accelerates root cause analysis by automatically directing alerting weight to the stage(s) most likely responsible for the issue.",github/dsid_c1a6a71323c04c1ba5445aadea340362__pr-867001-introduce-token-stage-cohorting-and-route-matrix-alerting.txt,2,10,11.2,1
