question_id,pool_size,pool_has_gold,elapsed,in_tok,out_tok,error,hit@5,hit@10,hit@15,hit@20,hit@50,hit@100
qst_0001,500,True,1.61,11516,31,,1,1,1,1,1,1
qst_0002,500,True,1.79,9788,31,,1,1,1,1,1,1
qst_0003,500,True,4.0,8776,325,,1,1,1,1,1,1
qst_0004,500,True,1.83,9176,31,,1,1,1,1,1,1
qst_0005,500,True,9.33,8212,564,,0,0,1,1,1,1
qst_0006,500,True,2.99,8615,31,,1,1,1,1,1,1
qst_0007,500,True,1.21,8483,31,,0,0,0,0,1,1
qst_0008,500,True,1.24,8205,31,,1,1,1,1,1,1
qst_0009,500,True,3.27,8154,211,,0,0,1,1,1,1
qst_0010,500,True,3.21,9094,73,,1,1,1,1,1,1
qst_0011,500,True,1.34,8058,31,,1,1,1,1,1,1
qst_0012,500,True,4.68,8866,433,,1,1,1,1,1,1
qst_0013,500,True,2.99,8216,47,,1,1,1,1,1,1
qst_0014,500,True,10.77,10476,248,,1,1,1,1,1,1
qst_0015,500,True,2.23,18504,31,,1,1,1,1,1,1
qst_0016,500,True,1.6,8225,31,,0,0,0,0,1,1
qst_0017,500,True,3.77,23311,31,,1,1,1,1,1,1
qst_0018,500,True,1.49,8459,31,,0,0,1,1,1,1
qst_0019,500,True,1.4,8805,31,,1,1,1,1,1,1
qst_0020,500,True,1.57,15312,31,,0,0,1,1,1,1
qst_0021,500,True,1.59,7883,31,,0,0,1,1,1,1
qst_0022,500,True,1.42,8270,31,,1,1,1,1,1,1
qst_0023,500,True,1.11,8460,31,,1,1,1,1,1,1
qst_0024,500,True,1.32,8812,31,,1,1,1,1,1,1
qst_0025,500,True,1.09,8379,31,,0,0,1,1,1,1
qst_0026,500,True,1.53,9025,31,,1,1,1,1,1,1
qst_0027,500,True,2.36,8198,31,,0,0,0,1,1,1
qst_0028,500,True,1.38,8491,31,,1,1,1,1,1,1
qst_0029,500,True,1.13,8604,35,,1,1,1,1,1,1
qst_0030,500,True,4.19,8191,298,,1,1,1,1,1,1
