question_id,pool_size,pool_has_gold,elapsed,in_tok,out_tok,hit@5,hit@10,hit@15,hit@20,hit@50,hit@100
qst_0001,500,True,3.56,16375,156,1,1,1,1,1,1
qst_0002,500,True,3.24,12860,156,1,1,1,1,1,1
qst_0003,500,True,3.8,10643,152,1,1,1,1,1,1
qst_0004,500,True,3.2,11376,152,1,1,1,1,1,1
qst_0005,500,True,4.27,9917,342,0,0,0,0,1,1
qst_0006,500,True,2.67,9974,156,1,1,1,1,1,1
qst_0007,500,True,6.22,10190,454,0,0,0,0,0,1
qst_0008,500,True,2.85,9788,152,1,1,1,1,1,1
qst_0009,500,True,2.82,9812,152,0,0,0,0,1,1
qst_0010,500,True,4.73,11713,152,1,1,1,1,1,1
qst_0011,500,True,2.94,9745,152,1,1,1,1,1,1
qst_0012,500,True,5.82,10695,234,1,1,1,1,1,1
qst_0013,500,True,2.77,9887,152,1,1,1,1,1,1
qst_0014,500,True,3.62,12362,152,1,1,1,1,1,1
qst_0015,500,True,4.48,23753,152,1,1,1,1,1,1
qst_0016,500,True,3.04,10020,156,0,0,0,0,0,1
qst_0017,500,True,4.93,29555,152,1,1,1,1,1,1
qst_0018,500,True,3.4,10212,151,0,0,0,0,1,1
qst_0019,500,True,6.09,10707,264,1,1,1,1,1,1
qst_0020,500,True,5.94,23826,459,1,1,1,1,1,1
qst_0021,500,True,4.7,9577,152,1,1,1,1,1,1
qst_0022,500,True,3.38,9947,152,1,1,1,1,1,1
qst_0023,500,True,4.3,10062,152,1,1,1,1,1,1
qst_0024,500,True,5.28,10681,494,1,1,1,1,1,1
qst_0025,500,True,3.6,10137,208,0,0,0,0,1,1
qst_0026,500,True,4.94,11535,152,1,1,1,1,1,1
qst_0027,500,True,2.66,9864,152,0,0,0,0,1,1
qst_0028,500,True,2.68,10585,152,1,1,1,1,1,1
qst_0029,500,True,6.82,10333,296,1,1,1,1,1,1
qst_0030,500,True,14.29,8337,1829,1,1,1,1,1,1
qst_0031,500,True,3.09,10238,156,0,0,0,0,1,1
qst_0032,500,True,7.81,13166,487,1,1,1,1,1,1
qst_0033,500,True,5.25,23210,156,1,1,1,1,1,1
qst_0034,500,True,2.45,9841,152,1,1,1,1,1,1
qst_0035,500,True,7.66,11466,152,0,0,1,1,1,1
qst_0036,500,True,3.07,10357,220,0,0,0,0,1,1
qst_0037,500,True,5.85,9562,354,0,0,0,1,1,1
qst_0038,500,True,6.49,15523,265,1,1,1,1,1,1
qst_0039,500,True,4.13,9805,342,0,0,0,0,1,1
qst_0040,500,True,9.2,9988,152,1,1,1,1,1,1
qst_0041,500,True,5.13,14387,257,1,1,1,1,1,1
qst_0042,500,True,8.66,75286,152,1,1,1,1,1,1
qst_0043,500,False,3.34,9675,152,0,0,0,0,0,0
qst_0044,500,True,4.5,10258,152,0,1,1,1,1,1
qst_0045,500,True,5.92,15907,321,0,0,0,0,1,1
qst_0046,500,True,9.58,9857,899,0,0,0,1,1,1
qst_0047,500,True,5.15,8684,484,0,1,1,1,1,1
qst_0048,500,True,7.01,10153,152,1,1,1,1,1,1
qst_0049,500,True,2.76,10930,152,0,0,0,0,1,1
qst_0050,500,True,5.44,9624,152,0,0,0,0,1,1
