question_id,question,answer,document_ids,llm_turns,docs_read,elapsed_s,hit
qst_0001,What are the default size limits for file uploads and total request size for the new multipart upload support on the OpenAI-compatible API endpoints?,"The default size limits for the new multipart upload support on the OpenAI-compatible API endpoints are:

- **10MiB per file** (per-part/per-file limit, controlled by `PART_MAX_BYTES` / `max_file_size`)
- **50MiB per request** (total payload limit, controlled by `MULTIPART_TOTAL_MAX_BYTES` / `max_total_request_size`)

These are conservative defaults and can be overridden per-tenant or per-route via configuration. PR-18421 also notes an additional default of `max_parts_count = 20` parts per request.",github/dsid_ae068ee4aa9640159427cd941bef0238__pr-18421-multipart-file-validation-limits.txt|github/dsid_c0e4ca5e29da45858056f1da8eb45009__pr-19764-multipart-upload-sanity-and-contenttype-guardrails.txt,2,10,53.75,1
qst_0002,What is the name of the new metric added so SRE can track when server-side streaming sessions get finalized due to hitting the time limit?,The new metric is `stream.timebox_finalized` (with labels route/model). It was added so SRE can track server-side streaming sessions that get finalized because they hit the configured timebox limit.,github/dsid_9550250a59e74f1bbd5612480b2e7100__pr-129874-timebox-abort-idempotency-resume-openai-compat.txt,2,10,17.72,1
qst_0003,What are the acceptance criteria for the project introducing an algorithm to generate interactive UI color states and a Kappa-style elevation scale for dense table and grid components?,"The acceptance criteria for the project (DES-72681) introducing an algorithm to generate interactive UI color states and a Kappa-style elevation scale for dense table and grid components are:

1) **Token spec**: Produce a stable token spec file (design JSON) that includes the base palette, interactive derivatives (e.g., `color.interactive.primary.hover`), and `elevation.kappa.{0..6}` with explicit shadow parameters.

2) **Implementation-ready**: The frontend repo receives a tokens PR implementing variables; DataGrid and Table components consume the new tokens behind a feature flag.

3) **Accessibility**: Automated contrast checks pass for all interactive states against 3:1 where applicable and 4.5:1 for primary actionable text.

4) **Visual regression**: Add per-component visual snapshots and tolerances; no regressions beyond approved deltas.

5) **Figma**: Updated design kit with tokenized components and guidance notes.

6) **Rollout plan**: Canary on internal analytics dashboards → staged rollout → full migration with a fallback.",linear/design/dsid_3fd6af404fae48e6b8ea5a57875ef78f__DES-72681-develop-interactive-tone-derivatives-and-kappa-elevation-scale-for-data-grids.txt,2,10,24.29,1
qst_0004,"In the meeting about onboarding a SaaS product to Google Cloud Marketplace, what did the GCP team recommend for handling delays where a new subscription entitlement is not immediately available during the customer onboarding flow?",,,5,55,74.87,0
qst_0005,"What failover sequence and recovery targets did MedThink specify for handling an EU region outage, including any limits on how long traffic can shift to the US?","MedThink specified the following for handling an EU region outage:

Failover sequence (preferred hierarchy): EU primary → EU warm standby → US emergency failover.

Recovery targets:
- RPO target: 15 minutes for active datasets
- RTO target: 30 minutes for critical APIs

Limits on US traffic shift: Cross-region failover to the US is permitted only for declared emergency windows, with a maximum duration of 4 hours, and must be pre-approved in the runbook.",gmail/rafael_mendes/dsid_8e838ab6a98f4cbcb672d41f210ff89c__20280503-region-fallback-priority-ops-inventory.txt,2,10,21.24,1
qst_0006,"In the draft spec about extending a routing policy engine for automated regional failover, what is the proposed priority order for evaluating different failure signals when deciding whether to shift traffic or fail over?",,,4,30,45.07,0
qst_0007,"In a rolling investigation of a model regression on policy-related prompts after a recent deploy, what was the average triage rubric score change between the older baseline build and the newer optimized build in the first comparison run?","The average triage rubric score dropped by 0.8 points in the first comparison run. In the initial pass on 2026-03-10, comparing the older baseline build (v2026-02-16-quant) to the newer optimized build (v2026-03-01-opt) on policy-related prompts, the baseline averaged 2.7 and the new build averaged 1.9 — a change of -0.8.",google_drive/users/dsid_72ec4a9962ba43e88acd61abbba1052d__rolling-bias-bisection-log-jared.txt,2,10,22.76,1
qst_0008,"In the internal shiproom runner notes, what is the target time-to-recover threshold for a verified rollback in staging?","The target time-to-recover threshold for a verified rollback in staging, per the shiproom runner's personal prep log (Aisha's sticky notes), is **less than 10 minutes** (""time-to-recover < 10m""). This appears in the Go/No-Go checklist under the ""Rollback plan"" item, with the runner as owner and a pre-check to rehearse the command set.",google_drive/users/dsid_5fc2dba9f6ac4af2b49b4f546a4298d0__shiproom-runner-personal-prep-log.txt,2,10,18.16,1
qst_0009,"In the EdgePath evaluation email thread, what alternative Year 1 pricing package did Redwood propose instead of matching the competitor's 50 percent first-year discount and migration credit?","Instead of matching CloudOrbit's 50% Year 1 discount + $60k migration credit, Redwood (Karthik Iyer) proposed the Committed (12/24 month) package: prepay buckets that reduce effective unit cost by 25% for Year 1 at a 12-month commit, with an onboarding credit of up to $45k tied to migration milestones, plus a seat license option that adds predictable monthlies and entitles the customer to 1:1 ECC (Elastic Concierge/Enterprise support).",gmail/avery_johnson/dsid_85deb10a652742baaf28af6149600001__20250803-license-offsets-and-migration-incentive.txt,4,30,51.99,1
qst_0010,How does the new alerting approach group model-serving requests by the stages they pass through to reduce noisy alerts and speed up root cause analysis?,"The new alerting approach groups model-serving requests into ""stage-aware cohorts"" based on the pipeline stages they traverse (e.g., tokenization, encoder, decode, fallback) to reduce alert noise and speed up root cause analysis. Specifically:

1. **Stage-based cohort keys**: A lightweight `token_stage_cohort` service computes a deterministic cohort key per invocation from stage-level metrics — token counts per stage, KV-cache hit pattern, and decode-batch size — and stores short-lived cohort aggregates. Cohort keys are namespaced by model major version (with fallback mappings) so they remain stable across model version rollouts.

2. **Route × stage alert matrix**: An alert route-matrix generator consumes the cohort rollups and produces alert bindings that bias escalation weight toward the top-k stages most likely responsible for an SLO violation on that route, attributing the violation to the specific pipeline stage.

3. **Cohort-focused dashboard**: A new dashboard surfaces cohort drift, stage heatmaps, and per-cohort cost/latency breakdowns, letting on-call engineers quickly validate root-cause hypotheses by seeing which stage in which cohort is degraded.

4. **Safe rollout and noise control**: The generator is wired into the existing alerting pipeline behind a feature flag in read-only mode, with a canary rollout that starts in low-sensitivity mode (P90/P99 only) and ramps after 72 hours, plus automatic quiet-window attenuation to avoid regressing alert noise during the rollout.

By grouping invocations that share the same ""stage footprint"" rather than alerting per-route/per-quantile, duplicate or correlated alerts collapse into a single cohort-level signal tied to the most likely offending stage, which both cuts pager noise and points operators directly at the responsible stage.",github/dsid_c1a6a71323c04c1ba5445aadea340362__pr-867001-introduce-token-stage-cohorting-and-route-matrix-alerting.txt,2,10,28.86,1
