question_id,question,answer,document_ids,llm_turns,docs_read,elapsed_s,hit
qst_0001,What are the default size limits for file uploads and total request size for the new multipart upload support on the OpenAI-compatible API endpoints?,"Based on the documents, the default size limits for the new multipart upload support on the OpenAI-compatible API endpoints are:

- **max_file_size (per file)**: 10MiB default
- **max_total_request_size (per request)**: 50MiB default
- **max_parts_count**: 20 default

These limits are configurable and can be overridden at the tenant or route level via API config. The limits were implemented to prevent oversized multipart payloads from causing memory pressure and OOM issues on the streaming runtime.",,2,10,53.21,0
qst_0002,What is the name of the new metric added so SRE can track when server-side streaming sessions get finalized due to hitting the time limit?,The new metric is called `stream.timebox_finalized`. It was added to allow SRE to track when server-side streaming sessions get finalized due to hitting the time limit. The metric includes labels for route and model.,github/dsid_9550250a59e74f1bbd5612480b2e7100__pr-129874-timebox-abort-idempotency-resume-openai-compat.txt,2,10,16.27,1
qst_0003,What are the acceptance criteria for the project introducing an algorithm to generate interactive UI color states and a Kappa-style elevation scale for dense table and grid components?,"The acceptance criteria for this project are:

1. **Token spec**: Produce a stable token spec file (design JSON) that includes base palette, interactive derivatives (e.g., color.interactive.primary.hover), and elevation.kappa.{0..6} with explicit shadow parameters.

2. **Implementation-ready**: Frontend repo receives a tokens PR implementing variables; DataGrid and Table components consume new tokens behind a feature flag.

3. **Accessibility**: Automated contrast checks pass for all interactive states against 3:1 where applicable and 4.5:1 for primary actionable text.

4. **Visual regression**: Add per-component visual snapshots and tolerances; no regressions beyond approved deltas.

5. **Figma**: Updated design kit with tokenized components and guidance notes.

6. **Rollout plan**: Canary on internal analytics dashboards → staged rollout → full migration with a fallback.",linear/design/dsid_3fd6af404fae48e6b8ea5a57875ef78f__DES-72681-develop-interactive-tone-derivatives-and-kappa-elevation-scale-for-data-grids.txt,2,10,17.15,1
qst_0004,"In the meeting about onboarding a SaaS product to Google Cloud Marketplace, what did the GCP team recommend for handling delays where a new subscription entitlement is not immediately available during the customer onboarding flow?","According to the GCP procurement steps cheatsheet, when handling delays where a new subscription entitlement is not immediately available during customer onboarding, the GCP team recommends the following approach for ""Entitlement not found in Redwood Console"":

**Likely causes:**
- Entitlement propagation delay
- Customer subscribed under different email / different cloud org context than expected
- Entitlement sync job delays

**Recommended steps (in order):**
1. Confirm the purchase timestamp, billing account, and (if available) the entitlement ID
2. Ask the customer to wait 10–20 minutes for entitlement propagation, then retry

This addresses the common edge case where the customer has subscribed/accepted the offer but the Redwood Console still shows ""No active marketplace entitlement found"" due to propagation delays from GCP.",,2,10,31.73,0
qst_0005,"What failover sequence and recovery targets did MedThink specify for handling an EU region outage, including any limits on how long traffic can shift to the US?","MedThink specified the following failover sequence and recovery targets for handling an EU region outage:

**Failover Sequence:**
EU primary → EU warm standby → US emergency failover

**Cross-region limit:**
Cross-region failover to US is permitted only for declared emergency windows, with a maximum duration of 4 hours, and must be pre-approved in the runbook.

**Recovery Targets:**
- RPO (Recovery Point Objective): 15 minutes for active datasets
- RTO (Recovery Time Objective): 30 minutes for critical APIs

These specifications were provided by Elena Ruiz, Director of Security & Compliance at MedThink Health, in an email response to Rafael Mendes at Redwood Inference dated May 4, 2028.",gmail/rafael_mendes/dsid_8e838ab6a98f4cbcb672d41f210ff89c__20250503-region-fallback-priority-ops-inventory.txt,2,10,20.58,1
qst_0006,"In the draft spec about extending a routing policy engine for automated regional failover, what is the proposed priority order for evaluating different failure signals when deciding whether to shift traffic or fail over?","Based on the draft spec and related documents, the proposed priority order for evaluating different failure signals when deciding whether to shift traffic or fail over is:

**1. Cross-region reachability (P0 - Authoritative)**
If the region cannot be reached, other signals may be missing/biased; customers cannot be served. This signal is the highest priority and can trigger failover even if lower-priority signals are green.

**2. 5xx / request failure burn (P1 - High-confidence)**
Direct customer impact; correlates strongly with inability to serve. Requires corroboration from gateway-level errors AND service-level errors OR reachability degradation.

**3. Tail latency burn (P2 - Medium-confidence)**
Strong indicator of impairment and impending failures; more sensitive to load/capacity. Must be accompanied by either 5xx burn, capacity headroom breach, or reachability soft fail.

**4. Capacity exhaustion / headroom breach (P3 - Gating + supporting)**
This is NOT a standalone trigger for broad failover. Capacity signals can corroborate other signals and gate failover execution to avoid cascading overload in the target region.

**5. Control plane health (supporting signal)**
Used for corroboration or gating, but not as a primary top-level trigger.

**6. Provider status / manual operator signal**
Manual override can bypass corroboration rules but requires audit documentation.

Key corroboration rules:
- Except for hard-down reachability, automated failover requires at least 2 independent corroboration sources
- Hard-down reachability can trigger automation with single-class corroboration (multiple vantages within reachability class)",,3,20,46.21,0
qst_0007,"In a rolling investigation of a model regression on policy-related prompts after a recent deploy, what was the average triage rubric score change between the older baseline build and the newer optimized build in the first comparison run?","In the first comparison run of the rolling investigation, the baseline build (v2026-02-16-quant) had an average triage rubric score of 2.7, while the newer optimized build (v2026-03-01-opt) scored 1.9. This represents a decrease of 0.8 points in the average rubric score between the older baseline and the newer optimized build.",google_drive/users/dsid_72ec4a9962ba43e88acd61abbba1052d__rolling-bias-bisection-log-jared.txt,2,10,19.34,1
qst_0008,"In the internal shiproom runner notes, what is the target time-to-recover threshold for a verified rollback in staging?","The target time-to-recover threshold for a verified rollback in staging is **less than 10 minutes** (< 10m). This is stated in the GO/NO-GO checklist section: ""Rollback plan: image rollback verified in staging (time-to-recover < 10m).""",,2,10,16.89,0
qst_0009,"In the EdgePath evaluation email thread, what alternative Year 1 pricing package did Redwood propose instead of matching the competitor's 50 percent first-year discount and migration credit?","Instead of matching CloudOrbit's 50% first-year discount and $60k migration credit, Redwood proposed a ""Committed (12/24 mo)"" package featuring prepay buckets that reduce effective unit cost by 25% for Year 1 at a 12-month commit, plus an onboarding credit up to $45k for migration milestones. They also presented an alternative ""Elastic (PAYG)"" option with tiered per-token rates (5/3/2% volume stepdown at $25k/$75k/$250k monthly spend) but with no onboarding credit.",gmail/avery_johnson/dsid_85deb10a652742baaf28af6149600001__20250803-license-offsets-and-migration-incentive.txt,2,10,21.03,1
qst_0010,How does the new alerting approach group model-serving requests by the stages they pass through to reduce noisy alerts and speed up root cause analysis?,"The new alerting approach groups model-serving requests by computing a deterministic ""cohort key"" per invocation based on stage-level metrics—specifically token counts per stage, kv-cache hit patterns, and decode-batch size. This cohorts requests into stage-aware groups.

The system then introduces an ""alert route-matrix generator"" that consumes these cohort rollups and emits alert bindings that bias escalation to the top-k stages most likely responsible for the violation. This creates a route × stage alert matrix that attributes SLO violations to the specific pipeline stage (tokenization, encoder, decode, or fallback) rather than treating alerts as per-route events.

The goals are to reduce alert noise by not paging on issues that don't affect the request's actual stage path, and to accelerate root cause analysis by showing which stage in the pipeline is the likely culprit. A new dashboard provides cohort drift visualization, stage heatmaps, and per-cohort cost/latency breakdowns to help on-call engineers quickly validate root cause hypotheses.",github/dsid_c1a6a71323c04c1ba5445aadea340362__pr-867001-introduce-token-stage-cohorting-and-route-matrix-alerting.txt,2,10,12.34,1
