question_id,question_type,source_types,expected_doc_ids,rrf_pool_size,rerank_returned,rerank_seconds,hit@10,rank@10,hit@20,rank@20,hit@30,rank@30,hit@40,rank@40,hit@50,rank@50,hit@60,rank@60,hit@70,rank@70,hit@80,rank@80,hit@90,rank@90,hit@100,rank@100,hit@120,rank@120,hit@150,rank@150,hit@180,rank@180,hit@200,rank@200,hit@500,rank@500,hit@750,rank@750,hit@1000,rank@1000
qst_0001,basic,github,dsid_ae068ee4aa9640159427cd941bef0238,2000,2000,14.289,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3
qst_0002,basic,github,dsid_9550250a59e74f1bbd5612480b2e7100,2000,2000,3.436,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6
qst_0003,basic,linear,dsid_3fd6af404fae48e6b8ea5a57875ef78f,2000,2000,2.184,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0004,basic,fireflies,dsid_6c4c1c875e704f09b4d791d64d7bc7e5,2000,2000,3.401,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
qst_0005,basic,gmail,dsid_8e838ab6a98f4cbcb672d41f210ff89c,2000,2000,3.54,0,,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13
qst_0006,basic,google_drive,dsid_184be937d34a412ab5e61366d54d8ed6,2000,2000,3.446,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3
qst_0007,basic,google_drive,dsid_72ec4a9962ba43e88acd61abbba1052d,2000,2000,3.24,0,,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13,1,13
qst_0008,basic,google_drive,dsid_5fc2dba9f6ac4af2b49b4f546a4298d0,2000,2000,2.855,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5
qst_0009,basic,gmail,dsid_85deb10a652742baaf28af6149600001,2000,2000,2.64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0010,basic,github,dsid_c1a6a71323c04c1ba5445aadea340362,2000,2000,3.092,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0011,basic,confluence,dsid_46a4cb87db414e769f2df86f01626948,2000,2000,2.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0012,basic,jira,dsid_59cb294da8964683bb165a3bb615df71,2000,2000,2.477,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0013,basic,confluence,dsid_f1b208f3637e4987aeab371242a5bea5,2000,2000,3.563,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
qst_0014,basic,fireflies,dsid_9ed01291d81947f49500df5fb28ab724,2000,2000,3.64,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
qst_0015,basic,hubspot,dsid_e75bbf328fe349d2bb39e29b1ed7c9d5,2000,2000,2.708,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
